rok;okrsek;strana;pocet_hlasu_abs;pocet_hlasu_perc
2018;3011;Svob.a př.dem.-T.Okamura (SPD);662;4.74
2014;6006;ZEMANOVCI, Sdružení SPO, NK;18;0.54
2018;1003;Pardubáci společně;786;7.89
2018;2011;Sdružení pro Pardubice;321;3.75
2014;2009;Občanská demokratická strana;1088;15.16
2010;12;Česká str.sociálně demokrat.;3623;25.36
2014;2007;PARDUBÁCI,Sdružení ČSR, NK;354;4.59
2010;81;PARDUBÁCI;2635;14.92
2018;1001;Česká pirátská strana;1961;18.35
2018;5014;ČSSD a nestran. pro Pardubice;108;1.82
2006;69;Koal.pro Pard.,KDU-ČSL+Nestran;537;4.19
2006;64;Česká str.sociálně demokrat.;1544;18.49
2014;3010;Koal. pro Pard., KDU-ČSL,NESTR;435;3.78
2014;3004;Svobodní, Strana svobod.občanů;178;2.36
2018;7003;ČSSD a nestran. pro Pardubice;1131;4.76
2018;3007;ČSSD a nestran. pro Pardubice;728;5.62
2002;77;Komunistická str.Čech a Moravy;1210;13.28
2010;41;Volte Pr.Blok www.cibulka.net;10;0.09
2018;4002;ČSSD a nestran. pro Pardubice;277;2.32
2018;3005;Česká pirátská strana;2267;14.24
2018;7006;Česká pirátská strana;396;8.83
2002;84;Občanská demokratická strana;1535;33.25
2014;2006;DOMOV;48;0.48
2014;2007;Pard. pro lidi a Souk SsČR,PPL;238;3.08
2018;5013;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;10;0.15
2014;6001;PARDUBÁCI,Sdružení ČSR, NK;959;6.38
2014;3013;Sdružení pro Pard. - SNK ED,NK;1864;14.20
2010;12;PERNŠTEJN -pol.str.ALTERNATIVA;176;1.23
2006;53;Koal.pro Pard.,KDU-ČSL+Nestran;457;3.80
2010;41;SDRUŽENÍ PRO PARDUBICE;1638;15.09
2018;2019;Česká pirátská strana;885;11.28
2010;62;PARDUBÁCI;1188;11.70
2006;13;Česká str.sociálně demokrat.;2184;19.52
2014;5001;Česká str.sociálně demokrat.;1139;10.98
2006;63;NEZ.DEMOKRATÉ(předs.V.Železný);25;0.26
2014;5003;NEZÁVISLÍ;6;0.10
2010;10;PERNŠTEJN -pol.str.ALTERNATIVA;190;1.51
2014;1003;Koal. pro Pard., KDU-ČSL,NESTR;251;3.06
2018;2007;Sdružení pro Pardubice;470;5.57
2018;1016;ČSSD a nestran. pro Pardubice;583;7.62
2010;14;Koalice pro Pardubice;151;2.24
2014;2016;ANO 2011;2752;28.74
2014;2008;NEZÁVISLÍ;102;1.23
2014;1006;NEZÁVISLÍ;27;0.30
2002;13;Křesť.demokr.unie-Čs.str.lid.;359;3.40
2010;49;SDRUŽENÍ PRO PARDUBICE;2439;18.52
2010;60;Česká str.sociálně demokrat.;875;12.83
2010;54;PERNŠTEJN -pol.str.ALTERNATIVA;217;1.60
2002;34;Nezávislí Pardubičtí kandidáti;149;1.81
2018;6002;Strana soukromníků ČR;24;0.13
2014;3011;ZEMANOVCI, Sdružení SPO, NK;11;0.08
2014;7004;Sdružení pro Pard. - SNK ED,NK;721;9.98
2002;2;Pravý Blok;32;0.35
2010;46;Občanská demokratická strana;2829;17.92
2006;68;Česká str.sociálně demokrat.;2458;18.41
2006;4;Koruna Česká (monarch.strana);4;0.04
2014;3015;Komunistická str.Čech a Moravy;887;10.70
2014;5009;ZEMANOVCI, Sdružení SPO, NK;9;0.09
2014;2012;ZEMANOVCI, Sdružení SPO, NK;6;0.07
2018;1021;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;5;0.04
2010;36;Občanská demokratická strana;1322;11.42
2006;10;Občanská demokratická strana;3089;29.18
2018;6003;ANO 2011;4738;23.14
2002;20;Naděje;259;3.60
2014;5014;NEZÁVISLÍ;5;0.09
2002;61;Sdružení pro Pardubice;1271;13.35
2018;1020;Pardubáci společně;1056;11.81
2002;59;Nezávislí Pardubičtí kandidáti;87;0.75
2014;6006;Občanská demokratická strana;124;3.73
2010;61;Zelená pro Pardubice (SZ, NK);129;1.00
2014;2009;Pard. pro lidi a Souk SsČR,PPL;71;0.99
2006;47;Koal.pro Pard.,KDU-ČSL+Nestran;534;4.51
2006;11;Koruna Česká (monarch.strana);10;0.08
2018;2010;Pardubáci společně;518;5.03
2018;6003;Pardubáci společně;1816;8.87
2002;82;Křesť.demokr.unie-Čs.str.lid.;325;2.78
2018;6004;Strana soukromníků ČR;24;0.17
2014;1009;Komunistická str.Čech a Moravy;1066;13.42
2002;76;Česká str.sociálně demokrat.;1367;15.46
2002;78;Občanská demokratická strana;4479;40.63
2010;50;Koalice pro Pardubice;493;4.58
2002;74;Sdružení pro Pardubice;975;10.73
2018;3015;Sdružení pro Pardubice;496;5.87
2006;65;Česká str.sociálně demokrat.;1748;18.96
2002;90;Pravý Blok;1;0.01
2010;52;Česká str.sociálně demokrat.;4515;28.59
2002;82;Unie svobody-Demokratická unie;1461;12.50
2002;57;Komunistická str.Čech a Moravy;2757;14.79
2014;5010;NEZÁVISLÍ;104;1.05
2018;2008;Strana soukromníků ČR;32;0.35
2010;58;Zelená pro Pardubice (SZ, NK);267;2.34
2018;5009;ČSSD a nestran. pro Pardubice;295;2.92
2002;89;Křesť.demokr.unie-Čs.str.lid.;255;2.87
2010;56;Věci veřejné (VV);234;2.73
2018;3001;Pardubáci společně;747;9.90
2018;5014;Česká pirátská strana;847;14.29
2006;86;Koruna Česká (monarch.strana);10;0.06
2018;5003;Sdružení pro Pardubice;492;7.40
2002;9;Křesť.demokr.unie-Čs.str.lid.;371;3.72
2002;3;Unie svobody-Demokratická unie;217;2.04
2014;2014;Sdružení pro Pard. - SNK ED,NK;527;7.08
2006;63;Sdružení pro Pardubice;1483;15.34
2014;5006;Svobodní, Strana svobod.občanů;484;5.09
2018;5018;Svob.a př.dem.-T.Okamura (SPD);367;4.91
2014;1013;PARDUBÁCI,Sdružení ČSR, NK;888;9.66
2018;5007;Komunistická str.Čech a Moravy;1034;11.29
2018;7003;Komunistická str.Čech a Moravy;1301;5.47
2010;27;Volte Pr.Blok www.cibulka.net;51;0.38
2006;50;Občanská demokratická strana;3483;36.90
2018;4002;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;10;0.08
2006;28;Koruna Česká (monarch.strana);4;0.04
2014;5012;Občanská demokratická strana;830;10.95
2010;91;Komunistická str.Čech a Moravy;204;9.20
2002;7;Naděje;482;4.11
2002;29;Občanská demokratická strana;6069;43.44
2014;1004;ANO 2011;2014;24.06
2014;3003;NEZÁVISLÍ;12;0.17
2006;73;Koruna Česká (monarch.strana);7;0.06
2010;63;TOP 09 a nezávislí;597;5.85
2002;60;Komunistická str.Čech a Moravy;1051;17.19
2018;2009;Komunistická str.Čech a Moravy;122;1.28
2010;11;SDRUŽENÍ PRO PARDUBICE;2345;18.10
2018;1012;Koalice pro Pardubice;749;6.43
2010;21;Suverenita-blok J.Bobošíkové;247;1.97
2018;5005;PRO Zdraví a Sport;44;0.44
2010;59;Občanská demokratická strana;2442;16.50
2006;74;Komunistická str.Čech a Moravy;1327;14.49
2018;7003;ANO 2011;5081;21.36
2010;17;Volte Pr.Blok www.cibulka.net;7;0.10
2018;3008;ČSSD a nestran. pro Pardubice;743;6.67
2010;49;Česká str.sociálně demokrat.;4347;33.02
2014;2014;NEZÁVISLÍ;93;1.25
2018;5017;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;7;0.05
2010;69;Občanská demokratická strana;2451;19.15
2006;23;Koal.pro Pard.,KDU-ČSL+Nestran;754;8.18
2014;4004;Česká str.sociálně demokrat.;778;13.47
2018;7001;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;16;0.11
2018;5010;Česká pirátská strana;1307;13.34
2018;5004;Občanská demokratická strana;1117;14.61
2018;6001;Občanská demokratická strana;2238;11.91
2018;2019;NAŠE PARDUBICE;127;1.62
2014;3012;Svobodní, Strana svobod.občanů;382;2.77
2018;2007;Komunistická str.Čech a Moravy;351;4.16
2010;24;PERNŠTEJN -pol.str.ALTERNATIVA;126;1.32
2006;66;Koal.pro Pard.,KDU-ČSL+Nestran;760;6.71
2010;83;Strana Práv Občanů ZEMANOVCI;116;0.96
2006;90;Občanská demokratická strana;2492;28.92
2006;50;Komunistická str.Čech a Moravy;679;7.19
2002;81;Pravý Blok;8;0.05
2006;87;Koal.pro Pard.,KDU-ČSL+Nestran;856;7.96
2010;74;Zelená pro Pardubice (SZ, NK);162;2.18
2014;4003;Strana zelených;77;0.60
2002;72;Komunistická str.Čech a Moravy;3671;21.79
2018;3005;NAŠE PARDUBICE;1704;10.70
2006;7;Zelená pro Pardubice;1189;10.15
2014;3004;Naše Pardubice, FairPlay,NK;151;2.00
2014;5017;Česká str.sociálně demokrat.;1431;12.37
2006;11;Česká str.sociálně demokrat.;2728;21.38
2010;45;Zelená pro Pardubice (SZ, NK);60;0.68
2018;5002;Svob.a př.dem.-T.Okamura (SPD);565;5.77
2006;27;Koruna Česká (monarch.strana);9;0.08
2014;5011;ANO 2011;1687;15.20
2014;6004;Pard. pro lidi a Souk SsČR,PPL;2582;21.08
2010;27;Česká str.sociálně demokrat.;2686;19.99
2018;5003;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;7;0.11
2018;2005;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;2;0.03
2010;49;Suverenita-blok J.Bobošíkové;130;0.99
2006;35;Zelená pro Pardubice;423;5.50
2014;2012;Česká str.sociálně demokrat.;1577;18.24
2014;1007;Sdružení pro Pard. - SNK ED,NK;602;8.91
2014;4001;Koal. pro Pard., KDU-ČSL,NESTR;1122;5.25
2014;4003;Naše Pardubice, FairPlay,NK;277;2.17
2018;8001;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;6;0.18
2006;21;NEZ.DEMOKRATÉ(předs.V.Železný);14;0.12
2002;29;Komunistická str.Čech a Moravy;1985;14.21
2006;19;Občanská demokratická strana;5155;44.76
2006;9;Občanská demokratická strana;3245;35.37
2010;76;Zelená pro Pardubice (SZ, NK);246;2.64
2010;83;Věci veřejné (VV);139;1.14
2018;1013;Strana soukromníků ČR;24;0.23
2018;4002;Pardubice pro lidi;257;2.15
2002;1;Strana za životní jistoty;19;0.17
2014;1021;Pard. pro lidi a Souk SsČR,PPL;244;2.30
2010;32;PERNŠTEJN -pol.str.ALTERNATIVA;63;0.67
2014;1009;Občanská demokratická strana;398;5.01
2010;88;Věci veřejné (VV);615;3.03
2014;7004;NEZÁVISLÍ;207;2.86
2014;5018;Občanská demokratická strana;453;7.99
2006;3;Koruna Česká (monarch.strana);9;0.09
2006;6;Komunistická str.Čech a Moravy;1224;10.44
2010;8;Komunistická str.Čech a Moravy;545;6.32
2018;3005;JAUNER Československo 2018;3;0.02
2014;2017;Občanská demokratická strana;978;9.08
2010;10;Koalice pro Pardubice;357;2.84
2010;53;Strana Práv Občanů ZEMANOVCI;222;1.34
2014;5005;Komunistická str.Čech a Moravy;950;9.79
2014;1020;Koal. pro Pard., KDU-ČSL,NESTR;348;4.66
2014;3002;PATRIOTI PARDUBIC, PATRIOTI,NK;217;2.60
2014;2006;Sdružení pro Pard. - SNK ED,NK;763;7.67
2006;81;Česká str.sociálně demokrat.;689;10.83
2010;9;Občanská demokratická strana;1395;13.72
2010;91;TOP 09 a nezávislí;176;7.94
2006;33;Sdružení pro Pardubice;1871;19.01
2014;3014;Občanská demokratická strana;1604;11.90
2014;3006;DOMOV;105;0.90
2002;29;Strana za životní jistoty;22;0.16
2002;7;Strana za životní jistoty;49;0.42
2014;2003;PARDUBÁCI,Sdružení ČSR, NK;618;6.09
2006;80;Sdružení pro Pardubice;2953;27.63
2006;29;Koruna Česká (monarch.strana);10;0.07
2014;5015;ZEMANOVCI, Sdružení SPO, NK;1;0.01
2010;90;Věci veřejné (VV);276;2.69
2010;17;Strana Práv Občanů ZEMANOVCI;106;1.48
2014;3009;Občanská demokratická strana;769;9.19
2002;51;Občanská demokratická strana;6044;42.17
2010;70;Občanská demokratická strana;1426;12.26
2014;1018;PARDUBÁCI,Sdružení ČSR, NK;952;8.23
2010;41;Komunistická str.Čech a Moravy;2277;20.97
2002;43;Naděje;421;3.00
2010;67;Koalice pro Pardubice;453;3.64
2018;2005;ČSSD a nestran. pro Pardubice;636;9.05
2014;6003;Občanská demokratická strana;704;4.69
2018;1004;Pardubice pro lidi;303;3.32
2002;71;Občanská demokratická strana;4402;35.41
2014;5006;PATRIOTI PARDUBIC, PATRIOTI,NK;399;4.20
2018;3003;NAŠE PARDUBICE;600;7.83
2010;72;Komunistická str.Čech a Moravy;2654;17.30
2002;87;Komunistická str.Čech a Moravy;1282;12.66
2014;3009;Komunistická str.Čech a Moravy;345;4.12
2010;26;Volte Pr.Blok www.cibulka.net;8;0.08
2002;69;Pravý Blok;12;0.09
2010;57;TOP 09 a nezávislí;2770;11.59
2010;76;TOP 09 a nezávislí;541;5.80
2018;1001;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;11;0.10
2002;78;Komunistická str.Čech a Moravy;1686;15.29
2006;73;NEZ.DEMOKRATÉ(předs.V.Železný);34;0.31
2002;14;Sdružení pro Pardubice;1437;17.46
2014;2003;ZEMANOVCI, Sdružení SPO, NK;8;0.08
2014;3012;NEZÁVISLÍ;160;1.16
2006;21;Sdružení pro Pardubice;2512;21.11
2018;2012;Česká pirátská strana;416;4.51
2006;60;Občanská demokratická strana;3146;48.44
2006;65;Koruna Česká (monarch.strana);6;0.07
2018;3008;Pardubice pro lidi;277;2.49
2014;1018;Komunistická str.Čech a Moravy;600;5.18
2010;63;Česká str.sociálně demokrat.;2098;20.56
2014;2004;Strana zelených;251;2.96
2006;71;Sdružení pro Pardubice;2144;15.89
2002;70;Unie svobody-Demokratická unie;341;2.84
2014;1017;NEZÁVISLÍ;123;2.06
2014;1020;Sdružení pro Pard. - SNK ED,NK;667;8.94
2018;5002;PRO Zdraví a Sport;66;0.67
2014;2011;PARDUBÁCI,Sdružení ČSR, NK;373;5.43
2002;81;Nezávislí Pardubičtí kandidáti;181;1.15
2006;36;Koal.pro Pard.,KDU-ČSL+Nestran;976;9.01
2010;78;Volte Pr.Blok www.cibulka.net;16;0.13
2018;3013;Komunistická str.Čech a Moravy;518;3.73
2010;43;TOP 09 a nezávislí;433;3.26
2002;53;Nezávislí Pardubičtí kandidáti;146;1.38
2010;24;Česká str.sociálně demokrat.;2561;26.89
2010;82;Věci veřejné (VV);345;2.57
2010;35;SDRUŽENÍ PRO PARDUBICE;1590;20.45
2010;66;PERNŠTEJN -pol.str.ALTERNATIVA;149;1.22
2002;52;Česká str.sociálně demokrat.;2524;19.19
2006;43;Občanská demokratická strana;4838;38.78
2018;2007;Občanská demokratická strana;950;11.25
2018;3001;Sdružení pro Pardubice;163;2.16
2014;5005;Koal. pro Pard., KDU-ČSL,NESTR;489;5.04
2010;25;Suverenita-blok J.Bobošíkové;187;2.09
2018;1009;NAŠE PARDUBICE;601;6.94
2018;4002;Česká pirátská strana;1046;8.75
2018;1013;PRO Zdraví a Sport;72;0.69
2006;67;Česká str.sociálně demokrat.;2867;23.44
2010;64;Věci veřejné (VV);340;4.46
2018;2009;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;25;0.26
2014;5015;Úsvit přímé demokracie;11;0.13
2014;2017;Sdružení pro Pard. - SNK ED,NK;1149;10.67
2014;5006;NEZÁVISLÍ;77;0.81
2014;5009;PARDUBÁCI,Sdružení ČSR, NK;628;6.58
2006;7;Komunistická str.Čech a Moravy;1410;12.03
2018;1022;ČSSD a nestran. pro Pardubice;760;6.72
2010;10;Věci veřejné (VV);552;4.39
2014;3011;Naše Pardubice, FairPlay,NK;407;3.06
2010;51;SDRUŽENÍ PRO PARDUBICE;2672;18.35
2010;83;Koalice pro Pardubice;507;4.18
2018;2012;JAUNER Československo 2018;2;0.02
2010;44;SDRUŽENÍ PRO PARDUBICE;2275;20.76
2002;88;Strana za životní jistoty;28;0.19
2018;5017;Pardubice pro lidi;695;5.00
2018;2008;PRO Zdraví a Sport;45;0.49
2002;82;Nezávislí Pardubičtí kandidáti;196;1.68
2014;2002;TOP 09 a nezávislí;605;7.50
2006;1;NEZ.DEMOKRATÉ(předs.V.Železný);24;0.22
2014;2018;PATRIOTI PARDUBIC, PATRIOTI,NK;267;2.89
2002;90;Křesť.demokr.unie-Čs.str.lid.;383;4.73
2006;75;NEZ.DEMOKRATÉ(předs.V.Železný);5;0.06
2006;34;Komunistická str.Čech a Moravy;1118;12.43
2014;5015;TOP 09 a nezávislí;457;5.32
2014;1001;Svobodní, Strana svobod.občanů;717;7.77
2010;65;PERNŠTEJN -pol.str.ALTERNATIVA;168;1.87
2006;33;Zelená pro Pardubice;223;2.27
2014;5014;Sdružení pro Pard. - SNK ED,NK;706;12.91
2018;2001;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;20;0.15
2002;9;Pravý Blok;17;0.17
2018;6001;NAŠE PARDUBICE;835;4.44
2014;3004;ANO 2011;2066;27.37
2002;76;Křesť.demokr.unie-Čs.str.lid.;323;3.65
2002;68;Komunistická str.Čech a Moravy;4303;32.41
2010;70;Komunistická str.Čech a Moravy;2661;22.88
2010;77;TOP 09 a nezávislí;840;7.89
2006;18;Občanská demokratická strana;6191;41.48
2014;1002;Naše Pardubice, FairPlay,NK;90;1.24
2014;1006;ANO 2011;2364;26.14
2002;62;Občanská demokratická strana;3387;33.69
2014;1022;ZEMANOVCI, Sdružení SPO, NK;27;0.24
2014;2006;NEZÁVISLÍ;67;0.67
2010;3;Zelená pro Pardubice (SZ, NK);245;2.59
2010;29;TOP 09 a nezávislí;765;6.12
2014;1005;ZEMANOVCI, Sdružení SPO, NK;14;0.20
2010;37;PARDUBÁCI;633;7.15
2010;16;Suverenita-blok J.Bobošíkové;41;0.45
2018;2014;Koalice pro Pardubice;580;6.80
2006;22;NEZ.DEMOKRATÉ(předs.V.Železný);3;0.08
2002;21;Nezávislí Pardubičtí kandidáti;93;0.82
2014;3001;ANO 2011;1327;19.58
2002;67;Pravý Blok;18;0.14
2006;78;Zelená pro Pardubice;502;4.81
2002;36;Nezávislí Pardubičtí kandidáti;105;1.02
2018;5002;ČSSD a nestran. pro Pardubice;595;6.08
2010;6;Občanská demokratická strana;1925;17.44
2010;43;PARDUBÁCI;1814;13.64
2014;2019;Sdružení pro Pard. - SNK ED,NK;536;7.06
2014;5012;NEZÁVISLÍ;14;0.18
2014;3005;Úsvit přímé demokracie;192;1.40
2010;3;Komunistická str.Čech a Moravy;731;7.71
2018;5012;Sdružení pro Pardubice;176;2.04
2018;1009;Pardubáci společně;910;10.51
2002;46;Naděje;323;2.64
2014;5008;Česká str.sociálně demokrat.;1079;11.59
2018;5005;Pardubáci společně;1222;12.21
2002;4;Občanská demokratická strana;3048;29.05
2014;5018;PATRIOTI PARDUBIC, PATRIOTI,NK;195;3.44
2014;5007;PARDUBÁCI,Sdružení ČSR, NK;354;4.21
2010;57;Zelená pro Pardubice (SZ, NK);492;2.06
2002;85;Křesť.demokr.unie-Čs.str.lid.;23;1.51
2014;1019;ZEMANOVCI, Sdružení SPO, NK;5;0.06
2002;84;Strana za životní jistoty;6;0.13
2018;1008;JAUNER Československo 2018;0;0.00
2002;31;Komunistická str.Čech a Moravy;1489;17.48
2002;89;Česká str.sociálně demokrat.;2508;28.24
2018;5016;Pardubáci společně;715;7.54
2018;5011;Komunistická str.Čech a Moravy;991;7.53
2014;6005;Úsvit přímé demokracie;2;0.05
2014;7002;Naše Pardubice, FairPlay,NK;195;1.59
2014;3013;TOP 09 a nezávislí;605;4.61
2018;1007;Česká pirátská strana;865;11.51
2010;48;Občanská demokratická strana;2181;17.41
2010;78;PARDUBÁCI;1137;9.26
2002;34;Sdružení pro Pardubice;1015;12.36
2002;79;Občanská demokratická strana;1837;31.25
2006;57;NEZ.DEMOKRATÉ(předs.V.Železný);39;0.17
2014;2003;Česká str.sociálně demokrat.;1728;17.04
2014;5017;Svobodní, Strana svobod.občanů;492;4.25
2018;3006;Pardubice pro lidi;273;1.97
2014;1012;NEZÁVISLÍ;22;0.23
2014;1014;Česká str.sociálně demokrat.;413;7.28
2006;44;Koal.pro Pard.,KDU-ČSL+Nestran;280;2.91
2014;1003;Komunistická str.Čech a Moravy;771;9.40
2002;41;Česká str.sociálně demokrat.;2369;19.24
2010;5;Česká str.sociálně demokrat.;1857;22.56
2014;7005;Koal. pro Pard., KDU-ČSL,NESTR;402;4.56
2002;7;Unie svobody-Demokratická unie;542;4.62
2014;1017;PARDUBÁCI,Sdružení ČSR, NK;294;4.93
2006;69;NEZ.DEMOKRATÉ(předs.V.Železný);14;0.11
2002;59;Komunistická str.Čech a Moravy;1569;13.57
2014;7004;PATRIOTI PARDUBIC, PATRIOTI,NK;450;6.23
2018;2017;Komunistická str.Čech a Moravy;1035;8.35
2006;85;Sdružení pro Pardubice;416;19.33
2002;16;Pravý Blok;21;0.29
2018;1021;Česká pirátská strana;1551;13.24
2018;1019;Pardubice pro lidi;354;2.84
2010;74;Česká str.sociálně demokrat.;1930;25.97
2002;70;Pravý Blok;17;0.14
2018;1019;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;4;0.03
2002;56;Komunistická str.Čech a Moravy;641;8.16
2014;1001;Koal. pro Pard., KDU-ČSL,NESTR;650;7.04
2014;6005;Občanská demokratická strana;289;7.88
2006;21;Zelená pro Pardubice;778;6.54
2014;4002;TOP 09 a nezávislí;477;4.62
2002;50;Nezávislí Pardubičtí kandidáti;64;0.72
2014;3014;ANO 2011;2914;21.63
2002;37;Komunistická str.Čech a Moravy;1409;14.47
2014;1007;Koal. pro Pard., KDU-ČSL,NESTR;286;4.24
2002;6;Občanská demokratická strana;4636;41.19
2002;7;NEZÁVISLÍ;405;3.45
2010;60;SDRUŽENÍ PRO PARDUBICE;977;14.32
2018;4005;Sdružení pro Pardubice;1308;7.68
2010;77;SDRUŽENÍ PRO PARDUBICE;2119;19.91
2014;5008;Koal. pro Pard., KDU-ČSL,NESTR;278;2.99
2014;2015;DOMOV;12;0.13
2010;80;Suverenita-blok J.Bobošíkové;380;2.20
2018;5018;Strana soukromníků ČR;265;3.55
2014;3004;Česká str.sociálně demokrat.;1284;17.01
2014;7001;Svobodní, Strana svobod.občanů;725;4.54
2010;6;Česká str.sociálně demokrat.;2420;21.92
2014;2014;ZEMANOVCI, Sdružení SPO, NK;7;0.09
2018;1020;Strana soukromníků ČR;61;0.68
2014;1010;Svobodní, Strana svobod.občanů;90;0.97
2002;30;Sdružení pro Pardubice;1324;9.72
2018;1021;ČSSD a nestran. pro Pardubice;695;5.93
2002;54;NEZÁVISLÍ;237;2.86
2018;2005;Pardubice pro lidi;231;3.29
2014;4004;NEZÁVISLÍ;80;1.39
2014;2013;TOP 09 a nezávislí;878;8.54
2002;73;Komunistická str.Čech a Moravy;1526;15.51
2010;67;TOP 09 a nezávislí;804;6.47
2014;2005;Úsvit přímé demokracie;57;0.79
2018;2001;JAUNER Československo 2018;0;0.00
2014;1019;ANO 2011;1988;22.67
2010;86;Občanská demokratická strana;3191;15.00
2002;56;NEZÁVISLÍ;196;2.49
2018;5005;Komunistická str.Čech a Moravy;680;6.79
2014;2005;TOP 09 a nezávislí;330;4.60
2014;4005;ANO 2011;3248;23.73
2002;20;Unie svobody-Demokratická unie;447;6.22
2018;5005;Občanská demokratická strana;1190;11.89
2018;2014;Pardubáci společně;397;4.65
2006;16;Koruna Česká (monarch.strana);1;0.01
2018;2016;Občanská demokratická strana;1344;13.81
2014;3011;ANO 2011;2915;21.90
2014;1009;ZEMANOVCI, Sdružení SPO, NK;13;0.16
2014;1021;PARDUBÁCI,Sdružení ČSR, NK;1065;10.03
2014;3013;ANO 2011;2953;22.50
2018;6001;ČSSD a nestran. pro Pardubice;691;3.68
2002;14;Česká str.sociálně demokrat.;674;8.19
2014;3013;Naše Pardubice, FairPlay,NK;254;1.94
2006;51;Sdružení pro Pardubice;2793;21.60
2014;5001;Svobodní, Strana svobod.občanů;98;0.94
2018;5016;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;3;0.03
2010;80;Koalice pro Pardubice;584;3.38
2010;70;Koalice pro Pardubice;403;3.47
2010;59;Česká str.sociálně demokrat.;3780;25.54
2014;6002;Komunistická str.Čech a Moravy;2174;13.47
2006;15;NEZ.DEMOKRATÉ(předs.V.Železný);31;0.24
2002;61;NEZÁVISLÍ;415;4.36
2010;77;Zelená pro Pardubice (SZ, NK);406;3.82
2010;75;Volte Pr.Blok www.cibulka.net;12;0.15
2014;3005;ZEMANOVCI, Sdružení SPO, NK;34;0.25
2014;1001;ZEMANOVCI, Sdružení SPO, NK;27;0.29
2014;4001;NEZÁVISLÍ;64;0.30
2010;57;Občanská demokratická strana;4465;18.68
2018;2015;Strana soukromníků ČR;88;0.81
2010;65;Komunistická str.Čech a Moravy;743;8.26
2010;12;Strana Práv Občanů ZEMANOVCI;180;1.26
2002;49;Občanská demokratická strana;4164;34.50
2006;84;Koal.pro Pard.,KDU-ČSL+Nestran;282;7.11
2014;2012;Úsvit přímé demokracie;66;0.76
2018;1015;Sdružení pro Pardubice;714;6.80
2010;29;Koalice pro Pardubice;497;3.97
2014;8001;DOMOV;10;0.47
2014;3006;PATRIOTI PARDUBIC, PATRIOTI,NK;685;5.88
2018;2006;JAUNER Československo 2018;1;0.01
2018;5009;Občanská demokratická strana;1032;10.20
2010;89;Strana Práv Občanů ZEMANOVCI;279;3.66
2006;4;Občanská demokratická strana;3677;35.28
2014;1017;Úsvit přímé demokracie;167;2.80
2014;2016;DOMOV;57;0.60
2014;5001;NEZÁVISLÍ;62;0.60
2010;2;Věci veřejné (VV);366;3.82
2002;80;Komunistická str.Čech a Moravy;1823;18.77
2006;15;Sdružení pro Pardubice;2235;17.21
2006;58;Sdružení pro Pardubice;2519;23.68
2014;5009;DOMOV;152;1.59
2002;45;NEZÁVISLÍ;312;3.20
2010;72;Strana Práv Občanů ZEMANOVCI;309;2.01
2014;1022;PARDUBÁCI,Sdružení ČSR, NK;842;7.56
2010;4;Česká str.sociálně demokrat.;2579;24.28
2014;5008;NEZÁVISLÍ;54;0.58
2006;70;Občanská demokratická strana;4099;33.82
2010;67;Strana Práv Občanů ZEMANOVCI;271;2.18
2006;51;NEZ.DEMOKRATÉ(předs.V.Železný);18;0.14
2010;49;Komunistická str.Čech a Moravy;1171;8.89
2014;3011;NEZÁVISLÍ;85;0.64
2018;1010;JAUNER Československo 2018;0;0.00
2018;2017;Pardubáci společně;965;7.79
2010;42;Strana Práv Občanů ZEMANOVCI;114;1.07
2010;83;PERNŠTEJN -pol.str.ALTERNATIVA;234;1.93
2018;1018;Pardubice pro lidi;57;0.52
2010;52;Strana Práv Občanů ZEMANOVCI;322;2.04
2006;80;Občanská demokratická strana;2799;26.19
2018;7001;JAUNER Československo 2018;0;0.00
2018;3003;ČSSD a nestran. pro Pardubice;616;8.04
2018;3015;Česká pirátská strana;1070;12.66
2002;71;Naděje;500;4.02
2010;16;PERNŠTEJN -pol.str.ALTERNATIVA;141;1.56
2014;5017;Úsvit přímé demokracie;97;0.84
2006;47;Komunistická str.Čech a Moravy;1259;10.62
2018;5007;PRO Zdraví a Sport;60;0.66
2002;46;Nezávislí Pardubičtí kandidáti;106;0.87
2010;87;Občanská demokratická strana;1387;10.10
2002;84;Unie svobody-Demokratická unie;599;12.98
2018;6005;ČSSD a nestran. pro Pardubice;354;7.83
2018;3007;Svob.a př.dem.-T.Okamura (SPD);329;2.54
2018;5010;ANO 2011;3020;30.83
2014;6003;DOMOV;35;0.23
2006;30;Koruna Česká (monarch.strana);3;0.02
2014;2019;Česká str.sociálně demokrat.;1648;21.70
2014;3007;ANO 2011;2995;25.63
